nconobc :
   8
Array: freqnames
  Q1   O1   P1   K1   N2   M2   S2   K2
Array: zetobu_amp
  3.2890000E+00  7.5500002E+00  3.0360000E+00  1.0260000E+01  2.3365999E+01  1.1316100E+02  4.2469002E+01  1.1861000E+01
  3.2780001E+00  7.5149999E+00  3.0120001E+00  1.0181000E+01  2.3306999E+01  1.1294300E+02  4.2388000E+01  1.1843000E+01
  3.2579999E+00  7.4889998E+00  2.9860001E+00  1.0102000E+01  2.3266001E+01  1.1286100E+02  4.2358002E+01  1.1842000E+01
  3.2249999E+00  7.4610000E+00  2.9510000E+00  9.9969997E+00  2.3222000E+01  1.1284100E+02  4.2351002E+01  1.1852000E+01
  3.2000000E+00  7.4340000E+00  2.9230001E+00  9.9069996E+00  2.3177999E+01  1.1277300E+02  4.2326000E+01  1.1855000E+01
  3.1740000E+00  7.4070001E+00  2.8929999E+00  9.8160000E+00  2.3135000E+01  1.1271800E+02  4.2306000E+01  1.1859000E+01
  3.1459999E+00  7.3790002E+00  2.8620000E+00  9.7200003E+00  2.3091999E+01  1.1267200E+02  4.2290001E+01  1.1864000E+01
  3.1310000E+00  7.3610001E+00  2.8429999E+00  9.6619997E+00  2.3062000E+01  1.1261700E+02  4.2270000E+01  1.1865000E+01
  3.1150000E+00  7.3429999E+00  2.8239999E+00  9.6040001E+00  2.3033001E+01  1.1257100E+02  4.2252998E+01  1.1866000E+01
  3.0990000E+00  7.3260002E+00  2.8060000E+00  9.5459995E+00  2.3006001E+01  1.1253200E+02  4.2238998E+01  1.1868000E+01
  2.9660001E+00  7.0860000E+00  2.6429999E+00  9.0439997E+00  2.2646999E+01  1.1148900E+02  4.1854000E+01  1.1802000E+01
  2.8260000E+00  6.8660002E+00  2.4860001E+00  8.5570002E+00  2.2320000E+01  1.1064300E+02  4.1542999E+01  1.1759000E+01
  2.8160000E+00  6.8649998E+00  2.4800000E+00  8.5389996E+00  2.2322001E+01  1.1071100E+02  4.1568001E+01  1.1769000E+01
  2.8050001E+00  6.8649998E+00  2.4740000E+00  8.5220003E+00  2.2323000E+01  1.1077300E+02  4.1591999E+01  1.1779000E+01
  2.7960000E+00  6.8639998E+00  2.4690001E+00  8.5059996E+00  2.2323000E+01  1.1082700E+02  4.1612000E+01  1.1788000E+01
